sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
AMOC,INDUSTRIAL,ultra,BULL,2022-03-07,2.57,2.49,2.81,6,False,32.42,2022-03-15,2.49,-3.69,1.0,LOSS
FWRY,SERVICES,buy,BULL,2022-03-16,5.28,5.14,5.78,1,False,33.32,2022-03-17,5.14,-3.23,1.0,LOSS
FWRY,SERVICES,buy,BULL,2022-03-17,5.11,4.9,5.6,3,False,35.28,2022-03-22,5.6,9.01,2.33,WIN
HELI,REAL_ESTATE,early,BULL,2022-03-21,5.07,4.95,5.56,2,False,40.63,2022-03-23,5.56,9.09,4.08,WIN
SWDY,ENERGY,early,NEUTRAL,2022-03-23,8.11,7.9,8.88,2,False,36.35,2022-03-27,7.9,-3.16,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2022-03-23,5.45,5.31,5.97,3,False,39.31,2022-03-28,5.31,-3.14,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2022-03-27,8.05,7.73,8.82,1,False,30.49,2022-03-28,7.73,-4.55,1.0,LOSS
COMI,BANKS,early,BULL,2022-03-21,29.57,28.83,32.39,6,False,40.07,2022-03-29,28.83,-3.08,1.0,LOSS
EAST,ENERGY,buy,BULL,2022-03-17,7.85,7.61,8.6,15,False,30.23,2022-04-07,8.271900177001953,4.8,1.76,EXIT
SKPC,INDUSTRIAL,early,NEUTRAL,2022-05-08,6.38,6.18,6.99,2,False,33.8,2022-05-10,6.18,-3.71,1.0,LOSS
ESRS,INDUSTRIAL,ultra,NEUTRAL,2022-04-28,12.83,12.45,14.06,5,False,30.59,2022-05-12,12.45,-3.54,1.0,LOSS
SKPC,INDUSTRIAL,buy,BULL,2022-05-11,6.28,6.09,6.88,1,False,30.59,2022-05-12,6.09,-3.6,1.0,LOSS
AMOC,INDUSTRIAL,ultra,NEUTRAL,2022-04-28,2.6,2.52,2.85,11,False,32.94,2022-05-22,2.52,-3.65,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2022-06-12,6.1,5.91,6.68,1,False,31.5,2022-06-13,5.91,-3.69,1.0,LOSS
TMGH,REAL_ESTATE,ultra,NEUTRAL,2022-06-09,7.94,7.7,8.7,3,False,30.97,2022-06-14,7.7,-3.6,1.0,LOSS
ESRS,INDUSTRIAL,ultra,BEAR,2022-06-13,11.74,11.39,12.86,5,False,30.37,2022-06-20,11.39,-3.56,1.0,LOSS
HRHO,SERVICES,early,BULL,2022-07-21,9.06,8.83,9.92,10,False,35.65,2022-08-04,9.92,8.92,3.74,WIN
SKPC,INDUSTRIAL,early,BULL,2022-08-07,5.74,5.51,6.29,15,False,31.34,2022-08-28,5.680139064788818,-1.62,0.26,EXIT
EAST,ENERGY,ultra,BULL,2022-08-08,7.11,6.9,7.79,15,False,34.62,2022-08-29,7.199356555938721,0.68,0.43,EXIT
ETEL,SERVICES,early,NEUTRAL,2022-08-09,12.47,11.97,13.66,15,False,32.97,2022-08-30,13.66,8.97,2.38,WIN
ORWE,SERVICES,early,NEUTRAL,2022-08-09,5.75,5.52,6.3,15,False,30.6,2022-08-30,5.8277788162231445,0.78,0.34,EXIT
SWDY,ENERGY,early,BULL,2022-09-06,7.4,7.22,8.11,1,False,32.39,2022-09-07,7.22,-3.01,1.0,LOSS
FWRY,SERVICES,ultra,NEUTRAL,2022-09-07,3.98,3.86,4.36,7,False,30.61,2022-09-18,3.86,-3.59,1.0,LOSS
COMI,BANKS,ultra,BULL,2022-09-14,24.73,23.98,27.09,2,False,31.55,2022-09-18,23.98,-3.61,1.0,LOSS
ADIB,BANKS,ultra,NEUTRAL,2022-09-25,11.61,11.32,12.72,1,False,31.37,2022-09-26,11.32,-3.07,1.0,LOSS
ETEL,SERVICES,early,BULL,2022-09-29,14.9,14.3,16.33,13,False,32.34,2022-10-19,16.33,9.02,2.38,WIN
SKPC,INDUSTRIAL,ultra,BULL,2022-10-10,5.7,5.53,6.25,13,False,30.62,2022-10-27,6.25,9.07,3.24,WIN
CIEB,BANKS,ultra,NEUTRAL,2022-10-19,5.16,5.01,5.66,6,False,32.25,2022-10-27,5.66,9.11,3.33,WIN
FWRY,SERVICES,ultra,NEUTRAL,2022-10-23,3.64,3.53,3.99,5,False,31.04,2022-10-30,3.99,9.04,3.18,WIN
ORWE,SERVICES,ultra,NEUTRAL,2022-10-18,5.75,5.58,6.3,9,False,32.58,2022-10-31,6.3,8.99,3.24,WIN
HRHO,SERVICES,early,NEUTRAL,2022-10-17,9.87,9.57,10.81,15,False,32.41,2022-11-07,10.559999465942383,6.42,2.3,EXIT
ADIB,BANKS,early,BULL,2022-11-14,10.97,10.69,12.02,9,False,36.13,2022-11-27,12.02,9.0,3.75,WIN
KZPC,INDUSTRIAL,ultra,BULL,2022-12-01,2.55,2.47,2.79,1,False,31.09,2022-12-04,2.79,8.84,3.0,WIN
TMGH,REAL_ESTATE,early,BULL,2022-12-06,9.03,8.8,9.89,5,False,30.12,2022-12-13,9.89,8.95,3.74,WIN
JUFO,SERVICES,ultra,BULL,2022-12-06,6.91,6.7,7.57,7,False,30.73,2022-12-15,7.57,8.98,3.14,WIN
ETEL,SERVICES,early,NEUTRAL,2023-01-31,23.81,23.09,26.09,1,False,30.78,2023-02-01,23.09,-3.6,1.0,LOSS
ETEL,SERVICES,ultra,NEUTRAL,2023-02-28,22.66,21.98,24.83,4,False,30.04,2023-03-06,24.83,9.0,3.19,WIN
EGTS,SERVICES,early,NEUTRAL,2023-03-12,1.99,1.93,2.18,1,False,31.95,2023-03-13,1.93,-3.59,1.0,LOSS
JUFO,SERVICES,early,BULL,2023-03-27,9.86,9.61,10.8,2,False,38.09,2023-03-29,10.8,8.96,3.76,WIN
HELI,REAL_ESTATE,early,BULL,2023-03-29,8.4,8.19,9.2,1,False,36.88,2023-03-30,8.19,-3.07,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2023-03-28,14.15,13.73,15.51,4,False,33.9,2023-04-03,15.51,9.04,3.24,WIN
HELI,REAL_ESTATE,early,BULL,2023-03-30,8.18,7.85,8.96,3,False,32.42,2023-04-04,8.96,8.96,2.36,WIN
JUFO,SERVICES,early,BULL,2023-03-30,10.6,10.17,11.61,5,False,33.75,2023-04-06,11.61,8.95,2.35,WIN
