sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
ORWE,SERVICES,buy,NEUTRAL,2024-09-10,22.51,21.83,24.66,15,False,24.57,2024-10-02,21.83,-3.6,1.0,LOSS
EGTS,SERVICES,early,NEUTRAL,2024-09-25,6.2,5.95,6.79,5,False,26.82,2024-10-02,5.95,-4.61,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2024-09-16,24.85,23.85,27.22,14,False,25.17,2024-10-07,27.22,8.96,2.37,WIN
CIEB,BANKS,early,NEUTRAL,2024-10-02,17.24,16.72,18.88,2,False,28.87,2024-10-07,16.72,-3.59,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2024-10-03,53.98,52.35,59.13,1,False,28.18,2024-10-07,59.13,8.97,3.16,WIN
EAST,ENERGY,early,NEUTRAL,2024-09-18,21.55,20.69,23.61,13,False,21.67,2024-10-08,23.61,8.98,2.4,WIN
HRHO,SERVICES,early,BULL,2024-10-07,24.38,23.4,26.71,1,False,21.04,2024-10-08,23.4,-4.59,1.0,LOSS
SWDY,ENERGY,early,BULL,2024-10-08,92.85,89.12,101.71,1,False,24.26,2024-10-09,89.12,-4.59,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2024-10-09,8.55,8.2,9.36,1,False,22.67,2024-10-10,8.2,-4.67,1.0,LOSS
JUFO,SERVICES,early,BULL,2024-10-08,28.71,27.56,31.46,3,False,24.7,2024-10-13,27.56,-4.58,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2024-10-13,22.41,21.51,24.55,3,False,20.82,2024-10-16,24.55,8.97,2.38,WIN
ORWE,SERVICES,ultra,NEUTRAL,2024-10-14,23.21,22.51,25.42,2,False,35.19,2024-10-16,25.42,8.95,3.16,WIN
SAUD,BANKS,early,NEUTRAL,2024-09-29,10.97,10.53,12.02,13,False,33.76,2024-10-17,12.02,9.0,2.39,WIN
ORWE,SERVICES,early,NEUTRAL,2024-10-16,25.38,24.62,27.81,1,False,33.72,2024-10-17,24.62,-3.57,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2024-10-16,24.35,23.37,26.68,3,False,23.68,2024-10-21,23.37,-4.6,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2024-10-17,30.59,29.36,33.51,3,False,29.5,2024-10-22,33.51,8.97,2.37,WIN
ORWE,SERVICES,early,NEUTRAL,2024-10-22,29.87,28.67,32.72,1,False,27.74,2024-10-23,28.67,-4.59,1.0,LOSS
CIEB,BANKS,ultra,NEUTRAL,2024-10-23,16.96,16.45,18.58,8,False,29.37,2024-11-04,18.58,8.98,3.18,WIN
ABUK,ENERGY,early,NEUTRAL,2024-10-15,50.17,48.66,54.96,15,False,24.71,2024-11-05,49.6329345703125,-1.65,0.36,EXIT
ADIB,BANKS,early,NEUTRAL,2024-10-23,39.81,38.21,43.61,10,False,34.58,2024-11-06,43.61,8.97,2.37,WIN
ETEL,SERVICES,ultra,NEUTRAL,2024-11-04,32.09,31.12,35.15,5,False,25.0,2024-11-11,35.15,8.96,3.15,WIN
KZPC,INDUSTRIAL,early,NEUTRAL,2024-10-22,11.51,11.05,12.61,15,False,25.8,2024-11-12,11.505663871765137,-0.61,0.01,EXIT
EGTS,SERVICES,ultra,NEUTRAL,2024-10-27,5.87,5.69,6.43,15,False,25.94,2024-11-17,5.820000171661377,-1.43,0.28,EXIT
HRHO,SERVICES,early,NEUTRAL,2024-11-11,23.17,22.47,25.39,5,False,34.82,2024-11-18,22.47,-3.6,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2024-11-05,9.85,9.45,10.79,10,False,29.28,2024-11-19,9.45,-4.64,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2024-11-19,34.01,33.15,37.26,1,False,24.21,2024-11-20,33.15,-3.1,1.0,LOSS
AMOC,INDUSTRIAL,ultra,NEUTRAL,2024-11-18,7.21,6.99,7.89,4,False,29.29,2024-11-24,6.99,-3.63,1.0,LOSS
FWRY,SERVICES,ultra,NEUTRAL,2024-11-06,8.12,7.87,8.89,15,False,30.0,2024-11-27,8.09000015258789,-0.94,0.12,EXIT
SAUD,BANKS,early,NEUTRAL,2024-11-17,12.95,12.43,14.19,8,False,26.55,2024-11-27,12.43,-4.59,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2024-11-20,32.88,31.56,36.02,5,False,24.64,2024-11-27,31.56,-4.59,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2024-11-12,79.27,76.08,86.83,15,False,31.21,2024-12-03,79.95513153076172,0.29,0.21,EXIT
ADIB,BANKS,buy,NEUTRAL,2024-11-26,42.92,41.85,47.02,10,False,20.24,2024-12-10,41.85,-3.07,1.0,LOSS
OCDI,REAL_ESTATE,ultra,NEUTRAL,2024-12-01,60.7,58.86,66.49,7,False,30.51,2024-12-10,66.49,8.96,3.15,WIN
PHDC,REAL_ESTATE,early,NEUTRAL,2024-12-02,6.15,5.96,6.74,9,False,31.7,2024-12-15,6.74,9.02,3.11,WIN
HRHO,SERVICES,ultra,NEUTRAL,2024-12-10,21.32,20.68,23.36,6,False,27.67,2024-12-18,20.68,-3.58,1.0,LOSS
FWRY,SERVICES,ultra,NEUTRAL,2024-12-02,8.36,8.11,9.16,15,False,27.53,2024-12-23,8.11,-3.57,1.0,LOSS
ORWE,SERVICES,buy,NEUTRAL,2024-12-17,24.53,23.79,26.87,4,False,23.72,2024-12-23,23.79,-3.59,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2024-12-03,79.56,77.56,87.15,15,False,36.33,2024-12-24,79.081298828125,-1.18,0.24,EXIT
ETEL,SERVICES,ultra,NEUTRAL,2024-12-10,32.41,31.43,35.5,10,False,25.0,2024-12-24,31.43,-3.6,1.0,LOSS
ESRS,INDUSTRIAL,buy,NEUTRAL,2024-12-22,107.46,104.22,117.72,8,False,21.18,2025-01-02,117.72,8.97,3.17,WIN
ISPH,ENERGY,early,NEUTRAL,2024-12-30,6.77,6.5,7.42,3,False,20.03,2025-01-05,7.42,9.03,2.41,WIN
PHDC,REAL_ESTATE,early,NEUTRAL,2024-12-31,6.51,6.31,7.13,2,False,24.13,2025-01-05,7.13,8.95,3.1,WIN
KZPC,INDUSTRIAL,ultra,NEUTRAL,2025-01-08,12.01,11.65,13.16,1,False,33.35,2025-01-09,11.65,-3.57,1.0,LOSS
